shape_id,shape_pt_sequence,shape_pt_lon,shape_dist_traveled,shape_pt_lat
SH0200L2000_0,1,-99.215842489255,0.0,19.4595932088305
SH0200L2000_0,2,-99.2158529980187,0.04,19.4599876689448
SH0200L2000_0,3,-99.2157807956722,0.26,19.4619530733617
SH0200L2000_0,4,-99.21574703438353,0.28,19.4621627983234
SH0200L2000_0,5,-99.2156867531637,0.3,19.462329290051105
SH0200L2000_0,6,-99.21558816690508,0.32,19.4625053916791
SH0200L2000_0,7,-99.2155076373633,0.33,19.4626106954681
SH0200L2000_0,8,-99.2153686608298,0.35,19.4627447617653
SH0200L2000_0,9,-99.2151953922833,0.37,19.46287313004349
SH0200L2000_0,10,-99.21504627366129,0.39,19.4629632120418
SH0200L2000_0,11,-99.21485075518048,0.41,19.46304187167189
SH0200L2000_0,12,-99.2146269772367,0.43,19.463101435815
SH0200L2000_0,13,-99.21440315637906,0.45,19.4631284808836
SH0200L2000_0,14,-99.2142256924127,0.47,19.4631344292948
SH0200L2000_0,15,-99.2140138989808,0.49,19.4631059863373
SH0200L2000_0,16,-99.2137939810656,0.51,19.46303355662
SH0200L2000_0,17,-99.2135444390932,0.54,19.4629190061142
SH0200L2000_0,18,-99.21275006653008,0.63,19.4625120916549
SH0200L2000_0,19,-99.21247139378691,0.66,19.4623603452633
SH0200L2000_0,20,-99.2122695358411,0.69,19.4622171161753
SH0200L2000_0,21,-99.2112423327749,0.84,19.461290571996106
SH0200L2000_0,22,-99.21080081516727,0.9,19.461008936920603
SH0200L2000_0,23,-99.21044941199992,0.94,19.460820781000105
SH0200L2000_0,24,-99.2101990354117,0.97,19.460711466294
SH0200L2000_0,25,-99.20997616563756,1.0,19.4606284427656
SH0200L2000_0,26,-99.20528193191,1.51,19.4593270856246
SH0200L2000_0,27,-99.20286481148572,1.78,19.4586136732868
SH0200L2000_0,28,-99.2018800469991,1.89,19.4583087122387
SH0200L2000_0,29,-99.20173000589908,1.91,19.45826703506589
SH0200L2000_0,30,-99.20151692644568,1.93,19.4582110812673
SH0200L2000_0,31,-99.2013543005702,1.95,19.4581849598832
SH0200L2000_0,32,-99.2011387417928,1.97,19.4581624837181
SH0200L2000_0,33,-99.2008891710442,2.0,19.4581555870965
SH0200L2000_0,34,-99.2007328974,2.02,19.4581701067285
SH0200L2000_0,35,-99.2005463987762,2.04,19.45820498396289
SH0200L2000_0,36,-99.1979795473243,2.32,19.458712325738
SH0200L2000_0,37,-99.1946201434814,2.68,19.4594464421818
SH0200L2000_0,38,-99.1939464409448,2.75,19.4595930935245
SH0200L2000_0,39,-99.1936750467824,2.78,19.45963395957261
SH0200L2000_0,40,-99.1932730134902,2.82,19.4596702549878
SH0200L2000_0,41,-99.1931268154019,2.84,19.4596799751476
SH0200L2000_0,42,-99.19297556144792,2.86,19.459677745094
SH0200L2000_0,43,-99.192456242,2.91,19.459673578
SH0200L2000_0,44,-99.19020847882628,3.15,19.4596736530958
SH0200L2000_0,45,-99.1897799165247,3.19,19.4596591578172
SH0200L2000_0,46,-99.18932297042272,3.24,19.459623769076604
SH0200L2000_0,47,-99.1889857337813,3.28,19.4595613546235
SH0200L2000_0,48,-99.185593695424,3.65,19.4587283990938
SH0200L2000_0,49,-99.1833869787838,3.89,19.458245028537
SH0200L2000_0,50,-99.18301263307129,3.93,19.4581572529843
SH0200L2000_0,51,-99.1827110464672,3.96,19.4580724340718
SH0200L2000_0,52,-99.182511313372,3.98,19.4579980329932
SH0200L2000_0,53,-99.1823710783776,4.0,19.457929310496
SH0200L2000_0,54,-99.1822368646367,4.02,19.4578347579907
SH0200L2000_0,55,-99.181935117971,4.06,19.4576055156785
SH0200L2000_0,56,-99.1815909713096,4.11,19.4573304062518
SH0200L2000_0,57,-99.18064103716112,4.24,19.45656692120989
SH0200L2000_0,58,-99.1805335603518,4.25,19.4564852527058
SH0200L2000_0,59,-99.180427603271,4.26,19.4564100385877
SH0200L2000_0,60,-99.1803042495814,4.28,19.4563319723871
SH0200L2000_0,61,-99.18015972286508,4.3,19.4562553617954
SH0200L2000_0,62,-99.1797715550277,4.35,19.456059198784803
SH0200L2000_0,63,-99.1794386242964,4.39,19.45589095612911
SH0200L2000_0,64,-99.1791722841412,4.42,19.455759948201106
SH0200L2000_0,65,-99.1790913147052,4.43,19.4557126844438
